127.0.0.1 - - [07/Sep/2024:12:12:25 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:26 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:29 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:29 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:38 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:38 +0530] "GET /EasyLearn/loginuser.jsp?error=Database%20error HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:12:38 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:05 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:05 +0530] "GET /EasyLearn/loginuser.jsp?error=Database%20error HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:05 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:31 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:31 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:36 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:13:36 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 500 2251
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:14:50 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:14:55 +0530] "POST /EasyLearn/SelectCourseServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:31 +0530] "POST /EasyLearn/SelectCourseServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:34 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:37 +0530] "POST /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:37 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:42 +0530] "POST /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:42 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:47 +0530] "POST /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:15:47 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:17:50 +0530] "GET /EasyLearn/quizinstruct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:17:51 +0530] "GET /EasyLearn/selectcourse.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:17:58 +0530] "POST /EasyLearn/SelectCourseServlet HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:04 +0530] "GET /EasyLearn/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:04 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:04 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:07 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 6495
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:09 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [07/Sep/2024:12:18:17 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 200 2677
