127.0.0.1 - - [29/Sep/2024:11:07:36 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ HTTP/1.1" 200 15094
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/img.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=5 HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=4 HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /EasyLearn/ImageServlet?courseId=6 HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ HTTP/1.1" 200 15094
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=4 HTTP/1.1" 200 5529
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=6 HTTP/1.1" 200 4377
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=5 HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:54 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:07:56 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:00 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:01 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7487
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:06 +0530] "GET /EasyLearn/aleaderboard.jsp HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:20 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=4&quizDate=2024-09-28 HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:30 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=3&quizDate=2024-09-11 HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:31 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=3&quizDate=2024-09-11 HTTP/1.1" 200 3232
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:41 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=3&quizDate=2024-09-11 HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:42 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=3&quizDate=2024-09-11 HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:49 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 15094
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:49 +0530] "GET /EasyLearn/ImageServlet?courseId=5 HTTP/1.1" 200 4509
0:0:0:0:0:0:0:1 - - [29/Sep/2024:11:08:49 +0530] "GET /EasyLearn/ImageServlet?courseId=4 HTTP/1.1" 200 5529
