127.0.0.1 - - [24/Sep/2024:23:03:01 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /EasyLearn/ HTTP/1.1" 200 11202
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /EasyLearn/img.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:02 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:06 +0530] "GET /EasyLearn/quizinstruct.jsp?courseName=C%2B%2B HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:06 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3004
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:20 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:20 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 11429
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:20 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:20 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:20 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:29 +0530] "GET /EasyLearn/quizinstruct.jsp?courseName=Python HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:03:32 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:06:05 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:06:05 +0530] "GET /EasyLearn/quizCompletion.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:06:07 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 11429
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:06:07 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [24/Sep/2024:23:06:07 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
