0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:32:51 +0530] "GET /EasyLearn/certificates.jsp?courseId=1 HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:32:53 +0530] "GET /EasyLearn/mails HTTP/1.1" 200 40530
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:33:11 +0530] "GET /EasyLearn/qualification.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:33:16 +0530] "GET /EasyLearn/qualification.jsp?qualification=qualified HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:33:21 +0530] "GET /EasyLearn/qualification.jsp?qualification=unqualified HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:33:56 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:33:56 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:34:00 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:34:00 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:34:02 +0530] "GET /EasyLearn/aleaderboard.jsp HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:34:09 +0530] "GET /EasyLearn/aleaderboard.jsp?courseId=2&quizDate=2024-10-28 HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:34:13 +0530] "POST /EasyLearn/pdfleaderboard HTTP/1.1" 200 40280
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:35:26 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:39 +0530] "GET /EasyLearn/logout1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:39 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:44 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:44 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:55 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:55 +0530] "GET /EasyLearn/qualification.jsp HTTP/1.1" 200 2849
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:46:58 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:47:04 +0530] "GET /EasyLearn/certificates.jsp?courseId=1 HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:47:32 +0530] "GET /EasyLearn/certificates.jsp?courseId=1 HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:47:36 +0530] "GET /EasyLearn/mails HTTP/1.1" 200 40530
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:24 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:26 +0530] "GET /EasyLearn/logout1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:26 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:30 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:30 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:32 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:53 +0530] "GET /EasyLearn/certificates.jsp?courseId=2 HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:51:59 +0530] "GET /EasyLearn/mails HTTP/1.1" 200 40154
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:54:56 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:54:56 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:55:03 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:55:04 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:55:07 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:55:11 +0530] "GET /EasyLearn/certificates.jsp?courseId=1 HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:55:16 +0530] "GET /EasyLearn/mails HTTP/1.1" 200 40127
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:08 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:10 +0530] "GET /EasyLearn/logout1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:10 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:18 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:18 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:22 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:57:31 +0530] "GET /EasyLearn/mails?courseId=2 HTTP/1.1" 200 40327
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:38 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:40 +0530] "GET /EasyLearn/logout1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:40 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:44 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:44 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:48 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:56 +0530] "GET /EasyLearn/certificates.jsp?courseId=2 HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [29/Oct/2024:17:58:58 +0530] "GET /EasyLearn/mails?courseId=2 HTTP/1.1" 200 40327
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:02:29 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:02:29 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:02:53 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:02:53 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 7676
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:02:59 +0530] "GET /EasyLearn/certificates.jsp HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:03:06 +0530] "GET /EasyLearn/certificates.jsp?courseId=2 HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [29/Oct/2024:18:03:10 +0530] "GET /EasyLearn/mails?courseId=2 HTTP/1.1" 200 40318
