127.0.0.1 - - [22/Sep/2024:08:52:22 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:24 +0530] "GET /EasyLearn/ HTTP/1.1" 200 11202
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:25 +0530] "GET /EasyLearn/img.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:25 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:25 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:25 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:25 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:57 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:52:57 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:03 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:03 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 11429
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:03 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:03 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:03 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:05 +0530] "GET /EasyLearn/quizinstruct.jsp?courseName=Python HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:09 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:15 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 6249
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:35 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:39 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:53:44 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 200 6269
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:55:41 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:55:41 +0530] "GET /EasyLearn/quizTimeUp.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:35 +0530] "POST /EasyLearn/QuizServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:35 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:35 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:40 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:40 +0530] "GET /EasyLearn/index.jsp HTTP/1.1" 200 11429
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:41 +0530] "GET /EasyLearn/ImageServlet?courseId=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:41 +0530] "GET /EasyLearn/ImageServlet?courseId=3 HTTP/1.1" 200 32348
0:0:0:0:0:0:0:1 - - [22/Sep/2024:08:56:41 +0530] "GET /EasyLearn/ImageServlet?courseId=1 HTTP/1.1" 200 29392
