127.0.0.1 - - [18/Oct/2024:19:43:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:43:10 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7906
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:43:10 +0530] "GET /EasyLearn/img.jpeg HTTP/1.1" 200 38707
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:43:11 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:43:47 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:45:09 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7895
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:45:46 +0530] "GET /EasyLearn/ HTTP/1.1" 200 8007
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:46:06 +0530] "GET /EasyLearn/ HTTP/1.1" 200 8035
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:46:17 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:46:35 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7873
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:47:03 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7868
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:47:08 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:48:45 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7866
0:0:0:0:0:0:0:1 - - [18/Oct/2024:19:48:50 +0530] "GET /EasyLearn/ HTTP/1.1" 200 7866
