127.0.0.1 - - [08/Sep/2024:22:55:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:55:54 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6511
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:55:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:03 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:03 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:10 +0530] "GET /EasyLearn/loginuser.jsp HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:10 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:19 +0530] "POST /EasyLearn/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:19 +0530] "GET /EasyLearn/loginuser.jsp?error=Database%20error HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [08/Sep/2024:22:56:20 +0530] "GET /EasyLearn/your-logo-path.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:05:55 +0530] "GET /EasyLearn/ HTTP/1.1" 200 6495
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:05:55 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:09 +0530] "GET /EasyLearn/adminlogin.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:16 +0530] "POST /EasyLearn/adminlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:17 +0530] "GET /EasyLearn/dashboard.jsp HTTP/1.1" 200 6963
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:26 +0530] "GET /EasyLearn/addCourse.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:28 +0530] "GET /EasyLearn/managecourse.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:31 +0530] "POST /EasyLearn/deleteCourse.jsp HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:06:47 +0530] "GET /EasyLearn/managecourse.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:07:27 +0530] "GET /EasyLearn/managecourse.jsp HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:07:30 +0530] "POST /EasyLearn/deletecourse.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [08/Sep/2024:23:07:34 +0530] "GET /EasyLearn/adminCourses.jsp HTTP/1.1" 404 747
